Date,M4,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Unemployment Rate
1/31/2010,7.07,14.63,0.11,6.83,9.80
2/28/2010,7.06,14.63,0.13,6.83,9.80
3/31/2010,7.05,14.65,0.17,6.84,9.90
4/30/2010,7.06,14.66,0.20,6.84,9.90
5/31/2010,7.06,14.66,0.20,6.84,9.60
6/30/2010,7.05,14.67,0.18,6.85,9.40
7/31/2010,7.06,14.66,0.18,6.85,9.40
8/31/2010,7.07,14.66,0.19,6.85,9.50
9/30/2010,7.07,14.65,0.20,6.86,9.50
10/31/2010,7.08,14.65,0.19,6.87,9.40
11/30/2010,7.08,14.66,0.19,6.88,9.80
12/31/2010,7.07,14.69,0.18,6.89,9.30
1/31/2011,7.07,14.71,0.17,6.89,9.10
2/28/2011,7.07,14.73,0.16,6.89,9.00
3/31/2011,7.07,14.77,0.14,6.91,9.00
4/30/2011,7.08,14.80,0.10,6.92,9.10
5/31/2011,7.09,14.83,0.09,6.92,9.00
6/30/2011,7.08,14.86,0.09,6.93,9.10
7/31/2011,7.09,14.87,0.07,6.94,9.00
8/31/2011,7.08,14.87,0.10,6.94,9.00
9/30/2011,7.08,14.87,0.08,6.95,9.00
10/31/2011,7.08,14.86,0.07,6.95,8.80
11/30/2011,7.08,14.85,0.08,6.96,8.60
12/31/2011,7.08,14.88,0.07,6.97,8.50
1/31/2012,7.09,14.89,0.08,6.98,8.30
2/29/2012,7.09,14.89,0.10,6.98,8.30
3/31/2012,7.09,14.88,0.13,7.00,8.20
4/30/2012,7.10,14.87,0.14,7.00,8.20
5/31/2012,7.10,14.87,0.16,7.01,8.20
6/30/2012,7.11,14.87,0.16,7.01,8.20
7/31/2012,7.11,14.87,0.16,7.02,8.20
8/31/2012,7.12,14.86,0.13,7.02,8.10
9/30/2012,7.12,14.85,0.14,7.03,7.80
10/31/2012,7.12,14.85,0.16,7.03,7.80
11/30/2012,7.13,14.87,0.16,7.05,7.70
12/31/2012,7.14,14.88,0.17,7.05,7.90
1/31/2013,7.15,14.90,0.14,7.06,8.00
2/28/2013,7.14,14.94,0.15,7.06,7.70
3/31/2013,7.14,14.97,0.14,7.07,7.50
4/30/2013,7.15,15.00,0.15,7.07,7.60
5/31/2013,7.15,15.03,0.11,7.08,7.50
6/30/2013,7.15,15.05,0.09,7.08,7.50
7/31/2013,7.15,15.08,0.09,7.09,7.30
8/31/2013,7.15,15.11,0.08,7.09,7.20
9/30/2013,7.16,15.12,0.08,7.10,7.20
10/31/2013,7.16,15.15,0.09,7.10,7.20
11/30/2013,7.16,15.18,0.08,7.11,6.90
12/31/2013,7.16,15.20,0.09,7.12,6.70
1/31/2014,7.16,15.22,0.07,7.12,6.60
2/28/2014,7.17,15.24,0.07,7.12,6.70
3/31/2014,7.17,15.25,0.08,7.14,6.70
4/30/2014,7.17,15.27,0.09,7.15,6.20
5/31/2014,7.17,15.28,0.09,7.15,6.30
6/30/2014,7.17,15.29,0.10,7.15,6.10
7/31/2014,7.17,15.30,0.09,7.16,6.20
8/31/2014,7.17,15.30,0.09,7.16,6.10
9/30/2014,7.17,15.31,0.09,7.16,5.90
10/31/2014,7.18,15.31,0.09,7.17,5.70
11/30/2014,7.18,15.32,0.09,7.18,5.80
12/31/2014,7.18,15.32,0.12,7.19,5.60
1/31/2015,7.19,15.32,0.12,7.20,5.70
2/28/2015,7.19,15.32,0.11,7.20,5.50
3/31/2015,7.20,15.32,0.11,7.21,5.40
4/30/2015,7.19,15.32,0.13,7.22,5.40
5/31/2015,7.20,15.32,0.12,7.22,5.60
6/30/2015,7.20,15.32,0.13,7.22,5.30
7/31/2015,7.21,15.32,0.13,7.22,5.20
8/31/2015,7.21,15.32,0.14,7.23,5.10
9/30/2015,7.21,15.32,0.14,7.23,5.00
10/31/2015,7.21,15.32,0.12,7.24,5.00
11/30/2015,7.22,15.32,0.12,7.25,5.10
12/31/2015,7.22,15.32,0.24,7.25,5.00
1/31/2016,7.23,15.32,0.34,7.26,4.80
2/29/2016,7.23,15.32,0.38,7.26,4.90
