Date,M4,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Unemployment Rate
3/31/2016,7.24,15.32,0.36,7.27,5.00
4/30/2016,7.24,15.32,0.37,7.28,5.10
5/31/2016,7.25,15.31,0.37,7.28,4.80
6/30/2016,7.25,15.31,0.38,7.28,4.90
7/31/2016,7.25,15.31,0.39,7.29,4.80
8/31/2016,7.26,15.31,0.40,7.29,4.90
9/30/2016,7.26,15.31,0.40,7.29,5.00
10/31/2016,7.26,15.31,0.40,7.30,4.90
11/30/2016,7.27,15.31,0.41,7.31,4.70
12/31/2016,7.27,15.31,0.54,7.31,4.70
1/31/2017,7.27,15.31,0.65,7.32,4.70
2/28/2017,7.28,15.31,0.66,7.32,4.60
3/31/2017,7.28,15.31,0.79,7.33,4.40
4/30/2017,7.29,15.31,0.90,7.34,4.50
5/31/2017,7.29,15.31,0.91,7.34,4.40
6/30/2017,7.29,15.31,1.04,7.35,4.30
7/31/2017,7.30,15.31,1.15,7.35,4.30
8/31/2017,7.30,15.31,1.16,7.36,4.40
9/30/2017,7.31,15.31,1.15,7.36,4.20
10/31/2017,7.31,15.31,1.15,7.37,4.10
11/30/2017,7.32,15.31,1.16,7.37,4.20
12/31/2017,7.32,15.31,1.30,7.38,4.10
1/31/2018,7.32,15.31,1.42,7.38,4.00
2/28/2018,7.32,15.30,1.42,7.39,4.10
3/31/2018,7.33,15.30,1.51,7.40,4.00
4/30/2018,7.33,15.29,1.69,7.40,4.00
5/31/2018,7.33,15.28,1.70,7.41,3.80
6/30/2018,7.34,15.28,1.82,7.42,4.00
7/31/2018,7.34,15.27,1.91,7.42,3.80
8/31/2018,7.35,15.26,1.92,7.42,3.80
9/30/2018,7.35,15.25,1.96,7.43,3.70
10/31/2018,7.35,15.24,2.19,7.43,3.80
11/30/2018,7.35,15.23,2.20,7.44,3.80
12/31/2018,7.36,15.22,2.27,7.44,3.90
1/31/2019,7.36,15.21,2.40,7.44,4.00
2/28/2019,7.37,15.20,2.40,7.44,3.80
3/31/2019,7.37,15.19,2.41,7.45,3.80
4/30/2019,7.38,15.19,2.42,7.45,3.70
5/31/2019,7.38,15.17,2.39,7.46,3.70
6/30/2019,7.39,15.16,2.38,7.46,3.60
7/31/2019,7.39,15.15,2.40,7.47,3.60
8/31/2019,7.40,15.14,2.13,7.47,3.70
9/30/2019,7.40,15.15,2.04,7.47,3.50
10/31/2019,7.41,15.19,1.83,7.48,3.60
11/30/2019,7.42,15.21,1.55,7.49,3.60
12/31/2019,7.42,15.23,1.55,7.49,3.60
