DATE,M4,TA,FFR,CC,Unemployment Rate
2010-03,8.881784197001252e-16,0.019999999999999574,0.020000000000000004,0.009999999999999787,0.09999999999999964
2010-04,0.019999999999999574,-0.009999999999999787,-0.010000000000000009,-0.009999999999999787,-0.09999999999999964
2010-05,-0.009999999999999787,-0.009999999999999787,-0.03,0.0,-0.3000000000000007
2010-06,-0.009999999999999787,0.009999999999999787,-0.020000000000000018,0.009999999999999787,0.10000000000000142
2010-07,0.019999999999999574,-0.019999999999999574,0.020000000000000018,-0.009999999999999787,0.1999999999999993
2010-08,8.881784197001252e-16,0.009999999999999787,0.010000000000000009,0.0,0.09999999999999964
2010-09,-0.010000000000000675,-0.009999999999999787,0.0,0.010000000000000675,-0.09999999999999964
2010-10,0.009999999999999787,0.009999999999999787,-0.020000000000000018,-8.881784197001252e-16,-0.09999999999999964
2010-11,-0.009999999999999787,0.009999999999999787,0.010000000000000009,0.0,0.5
2010-12,-0.009999999999999787,0.019999999999999574,-0.010000000000000009,0.0,-0.9000000000000004
2011-01,0.009999999999999787,-0.00999999999999801,2.7755575615628914e-17,-0.009999999999999787,0.29999999999999893
2011-02,0.0,-1.7763568394002505e-15,-2.7755575615628914e-17,0.0,0.10000000000000142
2011-03,0.0,0.019999999999999574,-0.009999999999999981,0.020000000000000462,0.09999999999999964
2011-04,0.009999999999999787,-0.00999999999999801,-0.020000000000000018,-0.010000000000000675,0.09999999999999964
2011-05,0.0,-1.7763568394002505e-15,0.03,-0.009999999999999787,-0.1999999999999993
2011-06,-0.019999999999999574,0.0,0.010000000000000009,0.009999999999999787,0.1999999999999993
2011-07,0.019999999999999574,-0.019999999999999574,-0.01999999999999999,8.881784197001252e-16,-0.1999999999999993
2011-08,-0.019999999999999574,-0.009999999999999787,0.04999999999999999,-0.010000000000000675,0.09999999999999964
2011-09,0.009999999999999787,0.0,-0.05,0.009999999999999787,0.0
2011-10,0.0,-0.009999999999999787,0.010000000000000009,-0.009999999999999787,-0.1999999999999993
2011-11,0.0,0.0,0.01999999999999999,0.009999999999999787,-1.7763568394002505e-15
2011-12,0.0,0.040000000000000924,-0.01999999999999999,0.0,0.10000000000000142
2012-01,0.009999999999999787,-0.02000000000000135,0.01999999999999999,8.881784197001252e-16,-0.09999999999999964
2012-02,-0.009999999999999787,-0.009999999999999787,0.010000000000000009,-0.010000000000000675,0.1999999999999993
2012-03,0.0,-0.009999999999999787,0.009999999999999995,0.019999999999999574,-0.10000000000000142
2012-04,0.009999999999999787,-1.7763568394002505e-15,-0.01999999999999999,-0.019999999999999574,0.10000000000000142
